ID,patient,scan
563d430e9,ID_015d2c2c,d580615f5f
06c66f794,ID_015d2c2c,d580615f5f
6daf39325,ID_015d2c2c,d580615f5f
a278fe8a9,ID_015d2c2c,d580615f5f
9255ab34e,ID_015d2c2c,d580615f5f
00db47c19,ID_015d2c2c,d580615f5f
b37c8398f,ID_015d2c2c,d580615f5f
3a5ee4abd,ID_015d2c2c,d580615f5f
b6d8c588a,ID_015d2c2c,d580615f5f
e24dcedc8,ID_015d2c2c,d580615f5f
b6f48474b,ID_015d2c2c,d580615f5f
206f7b446,ID_015d2c2c,d580615f5f
1284feed2,ID_015d2c2c,d580615f5f
137c9b92f,ID_015d2c2c,d580615f5f
00eede8fa,ID_015d2c2c,d580615f5f
7eb7e4550,ID_015d2c2c,d580615f5f
831e3678a,ID_015d2c2c,d580615f5f
f2822a3bf,ID_015d2c2c,d580615f5f
90dadba1e,ID_015d2c2c,d580615f5f
d771a3ae7,ID_015d2c2c,d580615f5f
47e51bfbc,ID_015d2c2c,d580615f5f
bb8153eec,ID_015d2c2c,d580615f5f
467a94d79,ID_015d2c2c,d580615f5f
ff8e38e5f,ID_015d2c2c,d580615f5f
25088db10,ID_01c99e86,4561f983be
a0550fc4b,ID_01c99e86,4561f983be
b118d00d6,ID_01c99e86,4561f983be
384be72a6,ID_01c99e86,4561f983be
8eb7925c6,ID_01c99e86,4561f983be
4c1aa5fc2,ID_01c99e86,4561f983be
155a8550c,ID_01c99e86,4561f983be
e7847c6d7,ID_01c99e86,4561f983be
7b672b53f,ID_01c99e86,4561f983be
efe06f244,ID_01c99e86,4561f983be
c8d10aab8,ID_01c99e86,4561f983be
3408216c5,ID_01c99e86,4561f983be
8a58eb306,ID_01c99e86,4561f983be
b32898e9f,ID_01c99e86,4561f983be
cbf62a8b2,ID_01c99e86,4561f983be
b0262290e,ID_01c99e86,4561f983be
2af7ec2ff,ID_01c99e86,4561f983be
44253efaf,ID_01c99e86,4561f983be
513e32c8e,ID_01c99e86,4561f983be
8e38336ec,ID_01c99e86,4561f983be
dc9a95639,ID_01c99e86,4561f983be
5504eb994,ID_01c99e86,4561f983be
6d79e4eea,ID_01c99e86,4561f983be
654818727,ID_01c99e86,4561f983be
082b371e1,ID_01c99e86,4561f983be
280d36c23,ID_01c99e86,4561f983be
cca816bb6,ID_01c99e86,4561f983be
94b63da36,ID_01c99e86,4561f983be
316935dfd,ID_01c99e86,4561f983be
a4e1ec908,ID_01c99e86,4561f983be
81895f3dd,ID_01c99e86,4561f983be
d56b08927,ID_01c99e86,4561f983be
5736f0cb5,ID_02fbcb24,76b9e01671
0dd962e8f,ID_02fbcb24,76b9e01671
d06a7760d,ID_02fbcb24,76b9e01671
eaf7afa58,ID_02fbcb24,76b9e01671
a125619c2,ID_02fbcb24,76b9e01671
66270116d,ID_02fbcb24,76b9e01671
3995ea616,ID_02fbcb24,76b9e01671
c73c804a4,ID_02fbcb24,76b9e01671
9d38819c2,ID_02fbcb24,76b9e01671
521ddadc3,ID_02fbcb24,76b9e01671
b53d01530,ID_02fbcb24,76b9e01671
d31b74471,ID_02fbcb24,76b9e01671
04dea9ef6,ID_02fbcb24,76b9e01671
84aebff18,ID_02fbcb24,76b9e01671
943fba0fe,ID_02fbcb24,76b9e01671
abc0a64a7,ID_02fbcb24,76b9e01671
38304c75f,ID_02fbcb24,76b9e01671
cc4ca85bd,ID_02fbcb24,76b9e01671
81887fd24,ID_02fbcb24,76b9e01671
550a925cb,ID_02fbcb24,76b9e01671
9a551a529,ID_02fbcb24,76b9e01671
25b1b9bf9,ID_02fbcb24,76b9e01671
7cfa2f7f4,ID_02fbcb24,76b9e01671
b69ebe464,ID_02fbcb24,76b9e01671
d1e457086,ID_02fbcb24,76b9e01671
d846d063e,ID_02fbcb24,76b9e01671
9914a890e,ID_02fbcb24,76b9e01671
e2e79ff1f,ID_02fbcb24,76b9e01671
cbe4c31a9,ID_02fbcb24,76b9e01671
fe9165aad,ID_02fbcb24,76b9e01671
1dbc110c0,ID_02fbcb24,76b9e01671
563b3b86b,ID_02fbcb24,76b9e01671
75c231e34,ID_02fbcb24,76b9e01671
69c8a2a26,ID_02fbcb24,76b9e01671
5a42d32fd,ID_02fbcb24,76b9e01671
d21b2c281,ID_02fbcb24,76b9e01671
41a9ed94a,ID_02fbcb24,76b9e01671
eb9785cc6,ID_02fbcb24,76b9e01671
65eb483e1,ID_03b098dd,e634283451
0fdde71fe,ID_03b098dd,e634283451
e73a8229f,ID_03b098dd,e634283451
fe97ceea5,ID_03b098dd,e634283451
1f7b93b55,ID_03b098dd,e634283451
caab368e2,ID_03b098dd,e634283451
aa47a6684,ID_03b098dd,e634283451
194116f63,ID_03b098dd,e634283451
be0dcd069,ID_03b098dd,e634283451
f774dc6e7,ID_03b098dd,e634283451
f97eea716,ID_03b098dd,e634283451
d9284a655,ID_03b098dd,e634283451
e923b4df5,ID_03b098dd,e634283451
ebe81efa2,ID_03b098dd,e634283451
449a70943,ID_03b098dd,e634283451
85fb5ac3f,ID_03b098dd,e634283451
46bb758d2,ID_03b098dd,e634283451
802e566c0,ID_03b098dd,e634283451
185aa67ea,ID_03b098dd,e634283451
a9834cc75,ID_03b098dd,e634283451
e4774ea28,ID_03b098dd,e634283451
b71e3ce3b,ID_03b098dd,e634283451
904dc95a8,ID_03b098dd,e634283451
13054bc60,ID_03b098dd,e634283451
6226700c5,ID_03b098dd,e634283451
d39f6b751,ID_03b098dd,e634283451
5a34d75ef,ID_03b098dd,e634283451
a75ba3689,ID_03b098dd,e634283451
f71f09525,ID_03b098dd,e634283451
90500a7ee,ID_03b098dd,e634283451
c977e803b,ID_03b098dd,e634283451
b37e9c73b,ID_03b098dd,e634283451
bd3b106fc,ID_03b4bb3e,6cbe1f0a09
302d2737c,ID_03b4bb3e,6cbe1f0a09
af46f1d78,ID_03b4bb3e,6cbe1f0a09
a0edbbba0,ID_03b4bb3e,6cbe1f0a09
834dbf563,ID_03b4bb3e,6cbe1f0a09
1c4d38bb5,ID_03b4bb3e,6cbe1f0a09
9b9a639b3,ID_03b4bb3e,6cbe1f0a09
9f1243e58,ID_03b4bb3e,6cbe1f0a09
359e658b7,ID_03b4bb3e,6cbe1f0a09
c12404df6,ID_03b4bb3e,6cbe1f0a09
819b99747,ID_03b4bb3e,6cbe1f0a09
a33d082d0,ID_03b4bb3e,6cbe1f0a09
92e926282,ID_03b4bb3e,6cbe1f0a09
1bc408488,ID_03b4bb3e,6cbe1f0a09
5fc3186fc,ID_03b4bb3e,6cbe1f0a09
59b97e112,ID_03b4bb3e,6cbe1f0a09
30c4aba04,ID_03b4bb3e,6cbe1f0a09
29ab8b9ba,ID_03b4bb3e,6cbe1f0a09
029b733a7,ID_03b4bb3e,6cbe1f0a09
3ac17d293,ID_03b4bb3e,6cbe1f0a09
dc450d67f,ID_03b4bb3e,6cbe1f0a09
5bcd3a9b8,ID_03b4bb3e,6cbe1f0a09
23ce0357d,ID_03b4bb3e,6cbe1f0a09
77665e196,ID_03b4bb3e,6cbe1f0a09
f8a973c0a,ID_03b4bb3e,6cbe1f0a09
a350844ff,ID_03b4bb3e,6cbe1f0a09
ab3295b58,ID_03b4bb3e,6cbe1f0a09
ab4f95d4c,ID_03b4bb3e,6cbe1f0a09
8f9ce252e,ID_03b6bb6f,c5bb5713ee
b239fbca0,ID_03b6bb6f,c5bb5713ee
b49e4f1e3,ID_03b6bb6f,c5bb5713ee
6b9090853,ID_03b6bb6f,c5bb5713ee
499ad4976,ID_03b6bb6f,c5bb5713ee
2a7811593,ID_03b6bb6f,c5bb5713ee
5b49ce26f,ID_03b6bb6f,c5bb5713ee
d0e0f3cad,ID_03b6bb6f,c5bb5713ee
fc5372056,ID_03b6bb6f,c5bb5713ee
60a16b289,ID_03b6bb6f,c5bb5713ee
dd89c28cf,ID_03b6bb6f,c5bb5713ee
250d0ea05,ID_03b6bb6f,c5bb5713ee
8bcd92301,ID_03b6bb6f,c5bb5713ee
d3667bc82,ID_03b6bb6f,c5bb5713ee
711f36b86,ID_03b6bb6f,c5bb5713ee
0474b0dca,ID_03b6bb6f,c5bb5713ee
cfad43106,ID_03b6bb6f,c5bb5713ee
a0d30df6f,ID_03b6bb6f,c5bb5713ee
c0757c6c5,ID_03b6bb6f,c5bb5713ee
07ec77b5e,ID_03b6bb6f,c5bb5713ee
daf848ec6,ID_03b6bb6f,c5bb5713ee
cf661a129,ID_03b6bb6f,c5bb5713ee
8f331647c,ID_03b6bb6f,c5bb5713ee
fca66fce6,ID_03b6bb6f,c5bb5713ee
11e5f2dc2,ID_03b6bb6f,c5bb5713ee
3542c534b,ID_03b6bb6f,c5bb5713ee
c50a2e57e,ID_03b6bb6f,c5bb5713ee
86f238e7f,ID_03b6bb6f,c5bb5713ee
b0642b96d,ID_03b6bb6f,c5bb5713ee
0fe89b59e,ID_03b6bb6f,c5bb5713ee
2604338c8,ID_03b6bb6f,c5bb5713ee
c0e75ab8e,ID_03b6bb6f,c5bb5713ee
5c40fdcc4,ID_03b6bb6f,c5bb5713ee
3272de47a,ID_03b6bb6f,c5bb5713ee
5d1eb336a,ID_03b6bb6f,c5bb5713ee
714bca602,ID_03b6bb6f,c5bb5713ee
0484b2cd1,ID_03c99056,128d656c66
e53e02ae4,ID_03c99056,128d656c66
f8f93eaed,ID_03c99056,128d656c66
4ea6c3fbe,ID_03c99056,128d656c66
948f95703,ID_03c99056,128d656c66
4d39486bb,ID_03c99056,128d656c66
81786181d,ID_03c99056,128d656c66
93e4c1117,ID_03c99056,128d656c66
42a9d3f48,ID_03c99056,128d656c66
5052214e2,ID_03c99056,128d656c66
cd3d8658b,ID_03c99056,128d656c66
767fbb592,ID_03c99056,128d656c66
4e801e4fe,ID_03c99056,128d656c66
bcc629f3a,ID_03c99056,128d656c66
d4c235745,ID_03c99056,128d656c66
d5602c526,ID_03c99056,128d656c66
84850fc50,ID_03c99056,128d656c66
d25187ad5,ID_03c99056,128d656c66
d6291b7af,ID_03c99056,128d656c66
f700d9bd7,ID_03c99056,128d656c66
c0bcdfa0e,ID_03c99056,128d656c66
a6a8100a6,ID_03c99056,128d656c66
c15757f77,ID_03c99056,128d656c66
1d25f9748,ID_03c99056,128d656c66
c1a16aaff,ID_03c99056,128d656c66
3a93d60d8,ID_03c99056,128d656c66
cfdbb3915,ID_03c99056,128d656c66
3d94db13d,ID_03c99056,128d656c66
0d229b04e,ID_03c99056,128d656c66
9738f64d4,ID_03c99056,128d656c66
e1f2e8725,ID_03c99056,128d656c66
7b77c60aa,ID_03c99056,128d656c66
f29e8d56b,ID_03fce484,6ef07e1c45
95963727b,ID_03fce484,6ef07e1c45
dde992c1d,ID_03fce484,6ef07e1c45
85c0f6a96,ID_03fce484,6ef07e1c45
f95720ee8,ID_03fce484,6ef07e1c45
d1a0a95e9,ID_03fce484,6ef07e1c45
c0102a9d7,ID_03fce484,6ef07e1c45
105488e25,ID_03fce484,6ef07e1c45
371b17dea,ID_03fce484,6ef07e1c45
854537864,ID_03fce484,6ef07e1c45
3d7bdb527,ID_03fce484,6ef07e1c45
594bfdaec,ID_03fce484,6ef07e1c45
ff900b385,ID_03fce484,6ef07e1c45
ce1d0eae1,ID_03fce484,6ef07e1c45
6b1218b5a,ID_03fce484,6ef07e1c45
218310d71,ID_03fce484,6ef07e1c45
bf692947f,ID_03fce484,6ef07e1c45
75e88f279,ID_03fce484,6ef07e1c45
65abb6e36,ID_03fce484,6ef07e1c45
868bdc380,ID_03fce484,6ef07e1c45
0427699ee,ID_03fce484,6ef07e1c45
18b325c1c,ID_03fce484,6ef07e1c45
3e46d0d09,ID_03fce484,6ef07e1c45
10fabcf16,ID_03fce484,6ef07e1c45
47a61288b,ID_03fce484,6ef07e1c45
c015adc08,ID_03fce484,6ef07e1c45
d3b9d12f5,ID_03fce484,6ef07e1c45
b9a6aca7b,ID_03fce484,6ef07e1c45
d64bc87f1,ID_04e1cdb0,cc923a7acd
0857d6c3e,ID_04e1cdb0,cc923a7acd
0cc613aa6,ID_04e1cdb0,cc923a7acd
b090c2c2c,ID_04e1cdb0,cc923a7acd
7ada7cf34,ID_04e1cdb0,cc923a7acd
5702dba6e,ID_04e1cdb0,cc923a7acd
fd4697791,ID_04e1cdb0,cc923a7acd
29f8ccbd3,ID_04e1cdb0,cc923a7acd
480b75f85,ID_04e1cdb0,cc923a7acd
8bafc0984,ID_04e1cdb0,cc923a7acd
2417e3dc1,ID_04e1cdb0,cc923a7acd
ec908cc08,ID_04e1cdb0,cc923a7acd
d2889886d,ID_04e1cdb0,cc923a7acd
0f4a09ee6,ID_04e1cdb0,cc923a7acd
ba965ec07,ID_04e1cdb0,cc923a7acd
83e17a6eb,ID_04e1cdb0,cc923a7acd
457426007,ID_04e1cdb0,cc923a7acd
5854a87a3,ID_04e1cdb0,cc923a7acd
d2f7939ef,ID_04e1cdb0,cc923a7acd
f3874118e,ID_04e1cdb0,cc923a7acd
02756993f,ID_04e1cdb0,cc923a7acd
5cf75f9c3,ID_04e1cdb0,cc923a7acd
28c95fbd3,ID_04e1cdb0,cc923a7acd
fff8b658e,ID_04e1cdb0,cc923a7acd
99a988c81,ID_04e1cdb0,cc923a7acd
c8ee683e3,ID_04e1cdb0,cc923a7acd
828a82728,ID_04e1cdb0,cc923a7acd
65d249fdb,ID_04e1cdb0,cc923a7acd
d9f23a93b,ID_04e1cdb0,cc923a7acd
c6ca9460e,ID_04e1cdb0,cc923a7acd
ab957fd15,ID_04e1cdb0,cc923a7acd
1524c3b5c,ID_04e1cdb0,cc923a7acd
b11101012,ID_04e1cdb0,cc923a7acd
887251a9a,ID_04e1cdb0,cc923a7acd
134aa9095,ID_04e1cdb0,cc923a7acd
c550490ab,ID_04e1cdb0,cc923a7acd
4ca9832a1,ID_053d7d49,acd2654182
2974af6cc,ID_053d7d49,acd2654182
2b9065b0a,ID_053d7d49,acd2654182
2ae4017d3,ID_053d7d49,acd2654182
a923422c0,ID_053d7d49,acd2654182
84b8c9625,ID_053d7d49,acd2654182
5b61ab73c,ID_053d7d49,acd2654182
8088d363d,ID_053d7d49,acd2654182
64d1d5b4c,ID_053d7d49,acd2654182
7dc9274b1,ID_053d7d49,acd2654182
32471cce7,ID_053d7d49,acd2654182
77eac83ac,ID_053d7d49,acd2654182
5a180040a,ID_053d7d49,acd2654182
1926b8259,ID_053d7d49,acd2654182
a621ba242,ID_053d7d49,acd2654182
dd85fc0b1,ID_053d7d49,acd2654182
268958fd3,ID_053d7d49,acd2654182
5e5753c1b,ID_053d7d49,acd2654182
4487e3a67,ID_053d7d49,acd2654182
68c9becfc,ID_053d7d49,acd2654182
8cd015858,ID_053d7d49,acd2654182
ebc890252,ID_053d7d49,acd2654182
6a59899d6,ID_053d7d49,acd2654182
0aac4fb06,ID_053d7d49,acd2654182
d5a838342,ID_053d7d49,acd2654182
ba93c86e7,ID_053d7d49,acd2654182
d52c5ca35,ID_053d7d49,acd2654182
6ef47981a,ID_053d7d49,acd2654182
0f4efed1c,ID_053d7d49,acd2654182
8da92c00c,ID_053d7d49,acd2654182
d207a8f29,ID_053d7d49,acd2654182
2d0f2a6a6,ID_053d7d49,acd2654182
5b3791f19,ID_05fd0016,a1a9b59c1a
04f9f34cf,ID_05fd0016,a1a9b59c1a
99fc33f26,ID_05fd0016,a1a9b59c1a
f5b84a991,ID_05fd0016,a1a9b59c1a
855134462,ID_05fd0016,a1a9b59c1a
81ad9defc,ID_05fd0016,a1a9b59c1a
e6df46922,ID_05fd0016,a1a9b59c1a
6daa6a774,ID_05fd0016,a1a9b59c1a
2f2450967,ID_05fd0016,a1a9b59c1a
d28a51c91,ID_05fd0016,a1a9b59c1a
e38c4ce3f,ID_05fd0016,a1a9b59c1a
ec3100240,ID_05fd0016,a1a9b59c1a
0a8112b9a,ID_05fd0016,a1a9b59c1a
ee1ba6ec8,ID_05fd0016,a1a9b59c1a
6515961f1,ID_05fd0016,a1a9b59c1a
e0de7d594,ID_05fd0016,a1a9b59c1a
13eeb5bb5,ID_05fd0016,a1a9b59c1a
d0a8439cb,ID_05fd0016,a1a9b59c1a
841800a4e,ID_05fd0016,a1a9b59c1a
34406b2bf,ID_05fd0016,a1a9b59c1a
3cf957eda,ID_05fd0016,a1a9b59c1a
095b82ff2,ID_05fd0016,a1a9b59c1a
affd93663,ID_05fd0016,a1a9b59c1a
86f7fc7b1,ID_05fd0016,a1a9b59c1a
eb918823d,ID_05fd0016,a1a9b59c1a
81e93e62f,ID_05fd0016,a1a9b59c1a
309b14759,ID_05fd0016,a1a9b59c1a
2c0316b36,ID_05fd0016,a1a9b59c1a
409bb27c9,ID_05fd0016,a1a9b59c1a
acdfa56a9,ID_05fd0016,a1a9b59c1a
9f26a38ed,ID_05fd0016,a1a9b59c1a
07f2819d4,ID_05fd0016,a1a9b59c1a
77cdeab1f,ID_06d6c6a9,857ec1f14c
a8c48619d,ID_06d6c6a9,857ec1f14c
c6e4a4ff7,ID_06d6c6a9,857ec1f14c
3a8809f9f,ID_06d6c6a9,857ec1f14c
1807d7fe0,ID_06d6c6a9,857ec1f14c
014faf4d9,ID_06d6c6a9,857ec1f14c
b86a0cd54,ID_06d6c6a9,857ec1f14c
1bf261475,ID_06d6c6a9,857ec1f14c
3d29069bf,ID_06d6c6a9,857ec1f14c
470670641,ID_06d6c6a9,857ec1f14c
08120d445,ID_06d6c6a9,857ec1f14c
52d0dd677,ID_06d6c6a9,857ec1f14c
f6053289d,ID_06d6c6a9,857ec1f14c
d3c2f8214,ID_06d6c6a9,857ec1f14c
aa910d4a9,ID_06d6c6a9,857ec1f14c
9057ab7d1,ID_06d6c6a9,857ec1f14c
98e7f862d,ID_06d6c6a9,857ec1f14c
1a66dc82c,ID_06d6c6a9,857ec1f14c
42c8a003b,ID_06d6c6a9,857ec1f14c
e2666a4ba,ID_06d6c6a9,857ec1f14c
f855b54e0,ID_06d6c6a9,857ec1f14c
cd4195b5c,ID_06d6c6a9,857ec1f14c
688598e8c,ID_06d6c6a9,857ec1f14c
baf02bd20,ID_06d6c6a9,857ec1f14c
9e49e3d38,ID_06d6c6a9,857ec1f14c
4c5028f61,ID_06d6c6a9,857ec1f14c
aeb8bdc7b,ID_06d6c6a9,857ec1f14c
6db733323,ID_06d6c6a9,857ec1f14c
e43027edc,ID_06d6c6a9,857ec1f14c
748dc999e,ID_06d6c6a9,857ec1f14c
7d7edc5dd,ID_06d6c6a9,857ec1f14c
bf05458de,ID_06d6c6a9,857ec1f14c
a4d39c9e6,ID_06d6c6a9,857ec1f14c
8914e5549,ID_06d6c6a9,857ec1f14c
7e3e59a15,ID_06d6c6a9,857ec1f14c
3b9405c11,ID_06d6c6a9,857ec1f14c
11ff8d7aa,ID_07c9159e,e67d30d179
1d7eaff45,ID_07c9159e,e67d30d179
9ed311de1,ID_07c9159e,e67d30d179
d3214619a,ID_07c9159e,e67d30d179
dd28f02cf,ID_07c9159e,e67d30d179
d78362fa1,ID_07c9159e,e67d30d179
286ecba35,ID_07c9159e,e67d30d179
b0df921df,ID_07c9159e,e67d30d179
a182497ed,ID_07c9159e,e67d30d179
8d71bce34,ID_07c9159e,e67d30d179
a3bd40ad4,ID_07c9159e,e67d30d179
20fe10655,ID_07c9159e,e67d30d179
e60e5c3dc,ID_07c9159e,e67d30d179
4d30d8c03,ID_07c9159e,e67d30d179
56f2dea0e,ID_07c9159e,e67d30d179
b83858f0d,ID_07c9159e,e67d30d179
fbaa3efde,ID_07c9159e,e67d30d179
f47fa56ae,ID_07c9159e,e67d30d179
b3c732c42,ID_07c9159e,e67d30d179
23ae3ad73,ID_07c9159e,e67d30d179
5293c743d,ID_07c9159e,e67d30d179
440d1e066,ID_07c9159e,e67d30d179
0223ccc4f,ID_07c9159e,e67d30d179
f4357fb33,ID_07c9159e,e67d30d179
743a435fb,ID_07c9159e,e67d30d179
70e64fd21,ID_07c9159e,e67d30d179
3d29bb5b2,ID_07c9159e,e67d30d179
5b61d5b79,ID_07c9159e,e67d30d179
7aa5adb03,ID_0a23f539,081931f2ec
98fe8313f,ID_0a23f539,081931f2ec
08203e385,ID_0a23f539,081931f2ec
ad667f7a0,ID_0a23f539,081931f2ec
9f41baddb,ID_0a23f539,081931f2ec
f20cf1784,ID_0a23f539,081931f2ec
fb0662bc2,ID_0a23f539,081931f2ec
b60ad3a84,ID_0a23f539,081931f2ec
1101d0df6,ID_0a23f539,081931f2ec
9b1772d27,ID_0a23f539,081931f2ec
b97c51f44,ID_0a23f539,081931f2ec
7b1c5bdc7,ID_0a23f539,081931f2ec
e95c6a6d1,ID_0a23f539,081931f2ec
3bf74a3ee,ID_0a23f539,081931f2ec
0f8dd401d,ID_0a23f539,081931f2ec
5949fdc0b,ID_0a23f539,081931f2ec
010e3e636,ID_0a23f539,081931f2ec
d458f6819,ID_0a23f539,081931f2ec
2ecab1112,ID_0a23f539,081931f2ec
888ef1e59,ID_0a23f539,081931f2ec
55141221d,ID_0a23f539,081931f2ec
310071632,ID_0a23f539,081931f2ec
f8afa1645,ID_0a23f539,081931f2ec
1a0ae6fa9,ID_0a23f539,081931f2ec
8e9894930,ID_0a23f539,081931f2ec
b3ff7126a,ID_0a23f539,081931f2ec
4f51296f9,ID_0a23f539,081931f2ec
d117df414,ID_0a23f539,081931f2ec
4deb99a41,ID_0a23f539,081931f2ec
bf874c665,ID_0a23f539,081931f2ec
752348ceb,ID_0a23f539,081931f2ec
a2d11c812,ID_0a23f539,081931f2ec
9670de4f7,ID_0a23f539,081931f2ec
7e148b15f,ID_0a6241b6,081c820129
9738397de,ID_0a6241b6,081c820129
f2c8cf39c,ID_0a6241b6,081c820129
1ddbd44f4,ID_0a6241b6,081c820129
624cc76a2,ID_0a6241b6,081c820129
da7fc52ae,ID_0a6241b6,081c820129
8aa6c0231,ID_0a6241b6,081c820129
0ed5c4bc8,ID_0a6241b6,081c820129
8d170b864,ID_0a6241b6,081c820129
0325c8d3a,ID_0a6241b6,081c820129
f58376368,ID_0a6241b6,081c820129
0e7f99c72,ID_0a6241b6,081c820129
733b726aa,ID_0a6241b6,081c820129
5365b7990,ID_0a6241b6,081c820129
2b41f8556,ID_0a6241b6,081c820129
1027aec16,ID_0a6241b6,081c820129
80619b40b,ID_0a6241b6,081c820129
40b8d3f29,ID_0a6241b6,081c820129
c7dd9f634,ID_0a6241b6,081c820129
8630a03b7,ID_0a6241b6,081c820129
de42e41e7,ID_0a6241b6,081c820129
76d366402,ID_0a6241b6,081c820129
c761d21bf,ID_0a6241b6,081c820129
2072b293f,ID_0a6241b6,081c820129
0b5b375ba,ID_0a6241b6,081c820129
46e206385,ID_0a6241b6,081c820129
ba0e8fe0f,ID_0a6241b6,081c820129
1f86f91e0,ID_0a6241b6,081c820129
88185ccdf,ID_0a6241b6,081c820129
9eced8c3d,ID_0a6241b6,081c820129
bc40560f3,ID_0a6241b6,081c820129
4428221e7,ID_0a6241b6,081c820129
90ee08f56,ID_0a6241b6,f2a6636a59
ee187da5c,ID_0a6241b6,f2a6636a59
bbefdbd9f,ID_0a6241b6,f2a6636a59
12efc879e,ID_0a6241b6,f2a6636a59
9c215472c,ID_0a6241b6,f2a6636a59
a469c1f85,ID_0a6241b6,f2a6636a59
8ff17d285,ID_0a6241b6,f2a6636a59
29602cb6f,ID_0a6241b6,f2a6636a59
f5f04efca,ID_0a6241b6,f2a6636a59
01aff2184,ID_0a6241b6,f2a6636a59
dd637ecc5,ID_0a6241b6,f2a6636a59
05f3dc5f8,ID_0a6241b6,f2a6636a59
861dda894,ID_0a6241b6,f2a6636a59
56a1d024a,ID_0a6241b6,f2a6636a59
b30d8e4b2,ID_0a6241b6,f2a6636a59
64532114c,ID_0a6241b6,f2a6636a59
781034edf,ID_0a6241b6,f2a6636a59
a5b4f4bcf,ID_0a6241b6,f2a6636a59
ace65f3af,ID_0a6241b6,f2a6636a59
60a4c92c7,ID_0a6241b6,f2a6636a59
c8ff5f02b,ID_0a6241b6,f2a6636a59
b4d4a3b6e,ID_0a6241b6,f2a6636a59
ddcb2c9e2,ID_0a6241b6,f2a6636a59
4ccf17918,ID_0a6241b6,f2a6636a59
eb330acab,ID_0a6241b6,f2a6636a59
e00951b2c,ID_0a6241b6,f2a6636a59
4a17ab60c,ID_0a6241b6,f2a6636a59
efa2612d5,ID_0a6241b6,f2a6636a59
b9012c07f,ID_0a6241b6,f2a6636a59
dded72eb9,ID_0a6241b6,f2a6636a59
2920fca16,ID_0a6241b6,f2a6636a59
6eba9cf87,ID_0a76b590,e78689a0f3
d2bf0ee23,ID_0a76b590,e78689a0f3
e7eba830c,ID_0a76b590,e78689a0f3
029119c0f,ID_0a76b590,e78689a0f3
077f929e8,ID_0a76b590,e78689a0f3
46d7df6e0,ID_0a76b590,e78689a0f3
1ee0cbb8c,ID_0a76b590,e78689a0f3
ad6bb0fbe,ID_0a76b590,e78689a0f3
eabf525fa,ID_0a76b590,e78689a0f3
f3f8e7df4,ID_0a76b590,e78689a0f3
305a1ab6f,ID_0a76b590,e78689a0f3
6104e9637,ID_0a76b590,e78689a0f3
b4b6950fd,ID_0a76b590,e78689a0f3
ae3b2a9dc,ID_0a76b590,e78689a0f3
892018981,ID_0a76b590,e78689a0f3
0738ce9f6,ID_0a76b590,e78689a0f3
e42621585,ID_0a76b590,e78689a0f3
12a9e72fb,ID_0a76b590,e78689a0f3
55208c42c,ID_0a76b590,e78689a0f3
887f9a90f,ID_0a76b590,e78689a0f3
0d5a09829,ID_0a76b590,e78689a0f3
726471c24,ID_0a76b590,e78689a0f3
